program_name_and_version,EnergyPlus 9.1.0
program_version_release_date,3/31/2019
program_name_short,E+
results_submission_date,04/15/2019
organization,National Renewable Energy Laboratory
organization_short,NREL
Annual Heating Loads 600,4.38056
Annual Heating Loads 610,4.425
Annual Heating Loads 620,4.55278
Annual Heating Loads 630,4.88333
Annual Heating Loads 640,2.68611
Annual Heating Loads 650,0
Annual Heating Loads 900,1.22222
Annual Heating Loads 910,1.50556
Annual Heating Loads 920,3.19444
Annual Heating Loads 930,3.90833
Annual Heating Loads 940,0.766667
Annual Heating Loads 950,0
Annual Heating Loads 960,2.43056
Annual Heating Loads 195,4.36111
Annual Heating Loads 200,5.58333
Annual Heating Loads 210,6.60556
Annual Heating Loads 215,5.95556
Annual Heating Loads 220,7.11667
Annual Heating Loads 230,10.9056
Annual Heating Loads 240,5.87222
Annual Heating Loads 250,5.19167
Annual Heating Loads 270,4.45833
Annual Heating Loads 280,4.65556
Annual Heating Loads 290,4.49167
Annual Heating Loads 300,4.50278
Annual Heating Loads 310,4.78056
Annual Heating Loads 320,3.76389
Annual Heating Loads 395,4.98333
Annual Heating Loads 400,7.02778
Annual Heating Loads 410,8.91389
Annual Heating Loads 420,7.65833
Annual Heating Loads 430,6.03056
Annual Heating Loads 440,4.57222
Annual Heating Loads 800,5.36944
Annual Heating Loads 810,1.97222
Annual Cooling Loads 600,6.74722
Annual Cooling Loads 610,4.75278
Annual Cooling Loads 620,4.17222
Annual Cooling Loads 630,2.78333
Annual Cooling Loads 640,6.46111
Annual Cooling Loads 650,5.78333
Annual Cooling Loads 900,2.51111
Annual Cooling Loads 910,1.23611
Annual Cooling Loads 920,2.55
Annual Cooling Loads 930,1.63889
Annual Cooling Loads 940,2.43611
Annual Cooling Loads 950,0.547222
Annual Cooling Loads 960,0.633333
Annual Cooling Loads 195,0.413889
Annual Cooling Loads 200,0.588889
Annual Cooling Loads 210,0.366667
Annual Cooling Loads 215,0.644444
Annual Cooling Loads 220,0.405556
Annual Cooling Loads 230,0.697222
Annual Cooling Loads 240,0.705556
Annual Cooling Loads 250,3.175
Annual Cooling Loads 270,8.49722
Annual Cooling Loads 280,5.50278
Annual Cooling Loads 290,6.39722
Annual Cooling Loads 300,5.46944
Annual Cooling Loads 310,3.74167
Annual Cooling Loads 320,5.81111
Annual Cooling Loads 395,0
Annual Cooling Loads 400,0.00555556
Annual Cooling Loads 410,0.0166667
Annual Cooling Loads 420,0.0666667
Annual Cooling Loads 430,0.65
Annual Cooling Loads 440,4.25278
Annual Cooling Loads 800,0.205556
Annual Cooling Loads 810,1.20556
Annual Houlry Integrated Peak Heating Loads 600_kW,3.75183
Annual Houlry Integrated Peak Heating Loads 600_DATE,04-JAN
Annual Houlry Integrated Peak Heating Loads 600_TIME,5
Annual Houlry Integrated Peak Heating Loads 610_kW,3.74136
Annual Houlry Integrated Peak Heating Loads 610_DATE,04-JAN
Annual Houlry Integrated Peak Heating Loads 610_TIME,5
Annual Houlry Integrated Peak Heating Loads 620_kW,3.74267
Annual Houlry Integrated Peak Heating Loads 620_DATE,04-JAN
Annual Houlry Integrated Peak Heating Loads 620_TIME,4
Annual Houlry Integrated Peak Heating Loads 630_kW,3.72232
Annual Houlry Integrated Peak Heating Loads 630_DATE,04-JAN
Annual Houlry Integrated Peak Heating Loads 630_TIME,4
Annual Houlry Integrated Peak Heating Loads 640_kW,6.28689
Annual Houlry Integrated Peak Heating Loads 640_DATE,04-JAN
Annual Houlry Integrated Peak Heating Loads 640_TIME,7
Annual Houlry Integrated Peak Heating Loads 650_kW,0
Annual Houlry Integrated Peak Heating Loads 650_DATE,01-JAN
Annual Houlry Integrated Peak Heating Loads 650_TIME,0
Annual Houlry Integrated Peak Heating Loads 900_kW,3.17432
Annual Houlry Integrated Peak Heating Loads 900_DATE,04-JAN
Annual Houlry Integrated Peak Heating Loads 900_TIME,7
Annual Houlry Integrated Peak Heating Loads 910_kW,3.17407
Annual Houlry Integrated Peak Heating Loads 910_DATE,04-JAN
Annual Houlry Integrated Peak Heating Loads 910_TIME,7
Annual Houlry Integrated Peak Heating Loads 920_kW,3.48438
Annual Houlry Integrated Peak Heating Loads 920_DATE,04-JAN
Annual Houlry Integrated Peak Heating Loads 920_TIME,7
Annual Houlry Integrated Peak Heating Loads 930_kW,3.5076
Annual Houlry Integrated Peak Heating Loads 930_DATE,04-JAN
Annual Houlry Integrated Peak Heating Loads 930_TIME,7
Annual Houlry Integrated Peak Heating Loads 940_kW,4.82711
Annual Houlry Integrated Peak Heating Loads 940_DATE,04-JAN
Annual Houlry Integrated Peak Heating Loads 940_TIME,7
Annual Houlry Integrated Peak Heating Loads 950_kW,0
Annual Houlry Integrated Peak Heating Loads 950_DATE,01-JAN
Annual Houlry Integrated Peak Heating Loads 950_TIME,0
Annual Houlry Integrated Peak Heating Loads 960_kW,2.69744
Annual Houlry Integrated Peak Heating Loads 960_DATE,04-JAN
Annual Houlry Integrated Peak Heating Loads 960_TIME,7
Annual Houlry Integrated Peak Heating Loads 195_kW,2.09174
Annual Houlry Integrated Peak Heating Loads 195_DATE,04-JAN
Annual Houlry Integrated Peak Heating Loads 195_TIME,5
Annual Houlry Integrated Peak Heating Loads 200_kW,2.85576
Annual Houlry Integrated Peak Heating Loads 200_DATE,04-JAN
Annual Houlry Integrated Peak Heating Loads 200_TIME,5
Annual Houlry Integrated Peak Heating Loads 210_kW,3.04446
Annual Houlry Integrated Peak Heating Loads 210_DATE,04-JAN
Annual Houlry Integrated Peak Heating Loads 210_TIME,5
Annual Houlry Integrated Peak Heating Loads 215_kW,3.03412
Annual Houlry Integrated Peak Heating Loads 215_DATE,04-JAN
Annual Houlry Integrated Peak Heating Loads 215_TIME,5
Annual Houlry Integrated Peak Heating Loads 220_kW,3.24644
Annual Houlry Integrated Peak Heating Loads 220_DATE,04-JAN
Annual Houlry Integrated Peak Heating Loads 220_TIME,5
Annual Houlry Integrated Peak Heating Loads 230_kW,5.06692
Annual Houlry Integrated Peak Heating Loads 230_DATE,04-JAN
Annual Houlry Integrated Peak Heating Loads 230_TIME,7
Annual Houlry Integrated Peak Heating Loads 240_kW,3.0628
Annual Houlry Integrated Peak Heating Loads 240_DATE,04-JAN
Annual Houlry Integrated Peak Heating Loads 240_TIME,5
Annual Houlry Integrated Peak Heating Loads 250_kW,3.24635
Annual Houlry Integrated Peak Heating Loads 250_DATE,04-JAN
Annual Houlry Integrated Peak Heating Loads 250_TIME,5
Annual Houlry Integrated Peak Heating Loads 270_kW,3.02534
Annual Houlry Integrated Peak Heating Loads 270_DATE,04-JAN
Annual Houlry Integrated Peak Heating Loads 270_TIME,5
Annual Houlry Integrated Peak Heating Loads 280_kW,3.0256
Annual Houlry Integrated Peak Heating Loads 280_DATE,04-JAN
Annual Houlry Integrated Peak Heating Loads 280_TIME,5
Annual Houlry Integrated Peak Heating Loads 290_kW,3.01483
Annual Houlry Integrated Peak Heating Loads 290_DATE,04-JAN
Annual Houlry Integrated Peak Heating Loads 290_TIME,5
Annual Houlry Integrated Peak Heating Loads 300_kW,3.01551
Annual Houlry Integrated Peak Heating Loads 300_DATE,04-JAN
Annual Houlry Integrated Peak Heating Loads 300_TIME,4
Annual Houlry Integrated Peak Heating Loads 310_kW,2.99516
Annual Houlry Integrated Peak Heating Loads 310_DATE,04-JAN
Annual Houlry Integrated Peak Heating Loads 310_TIME,4
Annual Houlry Integrated Peak Heating Loads 320_kW,3.02448
Annual Houlry Integrated Peak Heating Loads 320_DATE,04-JAN
Annual Houlry Integrated Peak Heating Loads 320_TIME,5
Annual Houlry Integrated Peak Heating Loads 395_kW,2.23335
Annual Houlry Integrated Peak Heating Loads 395_DATE,04-JAN
Annual Houlry Integrated Peak Heating Loads 395_TIME,3
Annual Houlry Integrated Peak Heating Loads 400_kW,3.24644
Annual Houlry Integrated Peak Heating Loads 400_DATE,04-JAN
Annual Houlry Integrated Peak Heating Loads 400_TIME,5
Annual Houlry Integrated Peak Heating Loads 410_kW,4.15668
Annual Houlry Integrated Peak Heating Loads 410_DATE,04-JAN
Annual Houlry Integrated Peak Heating Loads 410_TIME,5
Annual Houlry Integrated Peak Heating Loads 420_kW,3.97304
Annual Houlry Integrated Peak Heating Loads 420_DATE,04-JAN
Annual Houlry Integrated Peak Heating Loads 420_TIME,5
Annual Houlry Integrated Peak Heating Loads 430_kW,3.97297
Annual Houlry Integrated Peak Heating Loads 430_DATE,04-JAN
Annual Houlry Integrated Peak Heating Loads 430_TIME,5
Annual Houlry Integrated Peak Heating Loads 440_kW,3.7527
Annual Houlry Integrated Peak Heating Loads 440_DATE,04-JAN
Annual Houlry Integrated Peak Heating Loads 440_TIME,5
Annual Houlry Integrated Peak Heating Loads 800_kW,3.78876
Annual Houlry Integrated Peak Heating Loads 800_DATE,04-JAN
Annual Houlry Integrated Peak Heating Loads 800_TIME,7
Annual Houlry Integrated Peak Heating Loads 810_kW,3.32288
Annual Houlry Integrated Peak Heating Loads 810_DATE,04-JAN
Annual Houlry Integrated Peak Heating Loads 810_TIME,7
Annual Houlry Integrated Peak Cooling Loads 600_kW,6.56962
Annual Houlry Integrated Peak Cooling Loads 600_DATE,17-OCT
Annual Houlry Integrated Peak Cooling Loads 600_TIME,13
Annual Houlry Integrated Peak Cooling Loads 610_kW,6.16967
Annual Houlry Integrated Peak Cooling Loads 610_DATE,23-DEC
Annual Houlry Integrated Peak Cooling Loads 610_TIME,13
Annual Houlry Integrated Peak Cooling Loads 620_kW,3.92329
Annual Houlry Integrated Peak Cooling Loads 620_DATE,26-JUL
Annual Houlry Integrated Peak Cooling Loads 620_TIME,10
Annual Houlry Integrated Peak Cooling Loads 630_kW,3.37891
Annual Houlry Integrated Peak Cooling Loads 630_DATE,26-JUL
Annual Houlry Integrated Peak Cooling Loads 630_TIME,16
Annual Houlry Integrated Peak Cooling Loads 640_kW,6.50558
Annual Houlry Integrated Peak Cooling Loads 640_DATE,17-OCT
Annual Houlry Integrated Peak Cooling Loads 640_TIME,13
Annual Houlry Integrated Peak Cooling Loads 650_kW,6.43022
Annual Houlry Integrated Peak Cooling Loads 650_DATE,17-OCT
Annual Houlry Integrated Peak Cooling Loads 650_TIME,13
Annual Houlry Integrated Peak Cooling Loads 900_kW,3.25415
Annual Houlry Integrated Peak Cooling Loads 900_DATE,17-OCT
Annual Houlry Integrated Peak Cooling Loads 900_TIME,14
Annual Houlry Integrated Peak Cooling Loads 910_kW,2.57704
Annual Houlry Integrated Peak Cooling Loads 910_DATE,17-OCT
Annual Houlry Integrated Peak Cooling Loads 910_TIME,14
Annual Houlry Integrated Peak Cooling Loads 920_kW,2.7811
Annual Houlry Integrated Peak Cooling Loads 920_DATE,26-JUL
Annual Houlry Integrated Peak Cooling Loads 920_TIME,17
Annual Houlry Integrated Peak Cooling Loads 930_kW,2.27791
Annual Houlry Integrated Peak Cooling Loads 930_DATE,26-JUL
Annual Houlry Integrated Peak Cooling Loads 930_TIME,17
Annual Houlry Integrated Peak Cooling Loads 940_kW,3.25414
Annual Houlry Integrated Peak Cooling Loads 940_DATE,17-OCT
Annual Houlry Integrated Peak Cooling Loads 940_TIME,14
Annual Houlry Integrated Peak Cooling Loads 950_kW,2.30077
Annual Houlry Integrated Peak Cooling Loads 950_DATE,02-SEP
Annual Houlry Integrated Peak Cooling Loads 950_TIME,14
Annual Houlry Integrated Peak Cooling Loads 960_kW,1.14158
Annual Houlry Integrated Peak Cooling Loads 960_DATE,16-AUG
Annual Houlry Integrated Peak Cooling Loads 960_TIME,14
Annual Houlry Integrated Peak Cooling Loads 195_kW,0.730137
Annual Houlry Integrated Peak Cooling Loads 195_DATE,26-JUL
Annual Houlry Integrated Peak Cooling Loads 195_TIME,16
Annual Houlry Integrated Peak Cooling Loads 200_kW,0.974617
Annual Houlry Integrated Peak Cooling Loads 200_DATE,26-JUL
Annual Houlry Integrated Peak Cooling Loads 200_TIME,15
Annual Houlry Integrated Peak Cooling Loads 210_kW,0.811795
Annual Houlry Integrated Peak Cooling Loads 210_DATE,27-JUL
Annual Houlry Integrated Peak Cooling Loads 210_TIME,14
Annual Houlry Integrated Peak Cooling Loads 215_kW,1.07409
Annual Houlry Integrated Peak Cooling Loads 215_DATE,26-JUL
Annual Houlry Integrated Peak Cooling Loads 215_TIME,15
Annual Houlry Integrated Peak Cooling Loads 220_kW,0.910124
Annual Houlry Integrated Peak Cooling Loads 220_DATE,27-JUL
Annual Houlry Integrated Peak Cooling Loads 220_TIME,15
Annual Houlry Integrated Peak Cooling Loads 230_kW,1.40681
Annual Houlry Integrated Peak Cooling Loads 230_DATE,27-JUL
Annual Houlry Integrated Peak Cooling Loads 230_TIME,15
Annual Houlry Integrated Peak Cooling Loads 240_kW,1.0928
Annual Houlry Integrated Peak Cooling Loads 240_DATE,27-JUL
Annual Houlry Integrated Peak Cooling Loads 240_TIME,15
Annual Houlry Integrated Peak Cooling Loads 250_kW,3.03971
Annual Houlry Integrated Peak Cooling Loads 250_DATE,05-SEP
Annual Houlry Integrated Peak Cooling Loads 250_TIME,12
Annual Houlry Integrated Peak Cooling Loads 270_kW,6.85516
Annual Houlry Integrated Peak Cooling Loads 270_DATE,25-NOV
Annual Houlry Integrated Peak Cooling Loads 270_TIME,12
Annual Houlry Integrated Peak Cooling Loads 280_kW,4.71506
Annual Houlry Integrated Peak Cooling Loads 280_DATE,17-OCT
Annual Houlry Integrated Peak Cooling Loads 280_TIME,12
Annual Houlry Integrated Peak Cooling Loads 290_kW,6.71352
Annual Houlry Integrated Peak Cooling Loads 290_DATE,23-DEC
Annual Houlry Integrated Peak Cooling Loads 290_TIME,12
Annual Houlry Integrated Peak Cooling Loads 300_kW,3.90048
Annual Houlry Integrated Peak Cooling Loads 300_DATE,02-JUL
Annual Houlry Integrated Peak Cooling Loads 300_TIME,9
Annual Houlry Integrated Peak Cooling Loads 310_kW,3.26579
Annual Houlry Integrated Peak Cooling Loads 310_DATE,26-JUL
Annual Houlry Integrated Peak Cooling Loads 310_TIME,17
Annual Houlry Integrated Peak Cooling Loads 320_kW,6.18038
Annual Houlry Integrated Peak Cooling Loads 320_DATE,25-NOV
Annual Houlry Integrated Peak Cooling Loads 320_TIME,12
Annual Houlry Integrated Peak Cooling Loads 395_kW,0.0735867
Annual Houlry Integrated Peak Cooling Loads 395_DATE,27-JUL
Annual Houlry Integrated Peak Cooling Loads 395_TIME,17
Annual Houlry Integrated Peak Cooling Loads 400_kW,0.254954
Annual Houlry Integrated Peak Cooling Loads 400_DATE,27-JUL
Annual Houlry Integrated Peak Cooling Loads 400_TIME,17
Annual Houlry Integrated Peak Cooling Loads 410_kW,0.395314
Annual Houlry Integrated Peak Cooling Loads 410_DATE,26-JUL
Annual Houlry Integrated Peak Cooling Loads 410_TIME,17
Annual Houlry Integrated Peak Cooling Loads 420_kW,0.631713
Annual Houlry Integrated Peak Cooling Loads 420_DATE,27-JUL
Annual Houlry Integrated Peak Cooling Loads 420_TIME,15
Annual Houlry Integrated Peak Cooling Loads 430_kW,1.73026
Annual Houlry Integrated Peak Cooling Loads 430_DATE,16-AUG
Annual Houlry Integrated Peak Cooling Loads 430_TIME,14
Annual Houlry Integrated Peak Cooling Loads 440_kW,4.72044
Annual Houlry Integrated Peak Cooling Loads 440_DATE,17-OCT
Annual Houlry Integrated Peak Cooling Loads 440_TIME,13
Annual Houlry Integrated Peak Cooling Loads 800_kW,0.851583
Annual Houlry Integrated Peak Cooling Loads 800_DATE,28-JUL
Annual Houlry Integrated Peak Cooling Loads 800_TIME,14
Annual Houlry Integrated Peak Cooling Loads 810_kW,2.11419
Annual Houlry Integrated Peak Cooling Loads 810_DATE,02-SEP
Annual Houlry Integrated Peak Cooling Loads 810_TIME,14
FF Max Hourly Zone Temperature 600FF_TEMP (C),65.2885
FF Max Hourly Zone Temperature 600FF_DATE,17-OCT
FF Max Hourly Zone Temperature 600FF_TIME,15
FF Max Hourly Zone Temperature 900FF_TEMP (C),43.1637
FF Max Hourly Zone Temperature 900FF_DATE,02-SEP
FF Max Hourly Zone Temperature 900FF_TIME,14
FF Max Hourly Zone Temperature 650FF_TEMP (C),68.6626
FF Max Hourly Zone Temperature 650FF_DATE,17-OCT
FF Max Hourly Zone Temperature 650FF_TIME,15
FF Max Hourly Zone Temperature 950FF_TEMP (C),37.0881
FF Max Hourly Zone Temperature 950FF_DATE,02-SEP
FF Max Hourly Zone Temperature 950FF_TIME,15
FF Max Hourly Zone Temperature 960_TEMP (C),51.4677
FF Max Hourly Zone Temperature 960_DATE,17-OCT
FF Max Hourly Zone Temperature 960_TIME,14
FF Min Hourly Zone Temperature 600FF_TEMP (C),-17.4102
FF Min Hourly Zone Temperature 600FF_DATE,04-JAN
FF Min Hourly Zone Temperature 600FF_TIME,7
FF Min Hourly Zone Temperature 900FF_TEMP (C),-2.59595
FF Min Hourly Zone Temperature 900FF_DATE,04-JAN
FF Min Hourly Zone Temperature 900FF_TIME,7
FF Min Hourly Zone Temperature 650FF_TEMP (C),-23.0391
FF Min Hourly Zone Temperature 650FF_DATE,04-JAN
FF Min Hourly Zone Temperature 650FF_TIME,6
FF Min Hourly Zone Temperature 950FF_TEMP (C),-20.2036
FF Min Hourly Zone Temperature 950FF_DATE,04-JAN
FF Min Hourly Zone Temperature 950FF_TIME,6
FF Min Hourly Zone Temperature 960_TEMP (C),2.14321
FF Min Hourly Zone Temperature 960_DATE,06-FEB
FF Min Hourly Zone Temperature 960_TIME,6
FF Average Hourly Zone Temperature 600FF,25.81
FF Average Hourly Zone Temperature 900FF,26.0064
FF Average Hourly Zone Temperature 650FF,19.7749
FF Average Hourly Zone Temperature 950FF,14.8724
FF Average Hourly Zone Temperature 960,28.7831
Annual Incident Total Case 600 600NORTH,432.571
Annual Incident Total Case 600 600EAST,1185.89
Annual Incident Total Case 600 600WEST,1040.74
Annual Incident Total Case 600 600SOUTH,1547.51
Annual Incident Total Case 600 600HORZ.,1840.93
Unshaded Annual Transmitted Cases 620 and 600 920WEST,723.572
Unshaded Annual Transmitted Cases 620 and 600 900SOUTH,981.712
Shaded Annual Transmitted Cases 930 and 910 930WEST,525.941
Shaded Annual Transmitted Cases 930 and 910 910SOUTH,789.131
Hourly Incident Solar Radiation Cloudy Day March 5th Case 600 - South 1,0.0
Hourly Incident Solar Radiation Cloudy Day March 5th Case 600 - South 2,0.0
Hourly Incident Solar Radiation Cloudy Day March 5th Case 600 - South 3,0.0
Hourly Incident Solar Radiation Cloudy Day March 5th Case 600 - South 4,0.0
Hourly Incident Solar Radiation Cloudy Day March 5th Case 600 - South 5,0.0
Hourly Incident Solar Radiation Cloudy Day March 5th Case 600 - South 6,0.0
Hourly Incident Solar Radiation Cloudy Day March 5th Case 600 - South 7,0.0
Hourly Incident Solar Radiation Cloudy Day March 5th Case 600 - South 8,0.0
Hourly Incident Solar Radiation Cloudy Day March 5th Case 600 - South 9,0.0
Hourly Incident Solar Radiation Cloudy Day March 5th Case 600 - South 10,0.0
Hourly Incident Solar Radiation Cloudy Day March 5th Case 600 - South 11,0.0
Hourly Incident Solar Radiation Cloudy Day March 5th Case 600 - South 12,0.0
Hourly Incident Solar Radiation Cloudy Day March 5th Case 600 - South 13,0.0
Hourly Incident Solar Radiation Cloudy Day March 5th Case 600 - South 14,0.0
Hourly Incident Solar Radiation Cloudy Day March 5th Case 600 - South 15,0.0
Hourly Incident Solar Radiation Cloudy Day March 5th Case 600 - South 16,0.0
Hourly Incident Solar Radiation Cloudy Day March 5th Case 600 - South 17,0.0
Hourly Incident Solar Radiation Cloudy Day March 5th Case 600 - South 18,0.0
Hourly Incident Solar Radiation Cloudy Day March 5th Case 600 - South 19,0.0
Hourly Incident Solar Radiation Cloudy Day March 5th Case 600 - South 20,0.0
Hourly Incident Solar Radiation Cloudy Day March 5th Case 600 - South 21,0.0
Hourly Incident Solar Radiation Cloudy Day March 5th Case 600 - South 22,0.0
